player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label
00-0038619,Andrei Iosivas,CIN,WR,WR,2025,2026,61,2,3.200071035942076,1.2000710359420759,0.17289952513123769,18.508269664205805,0.0,0.0,0.0,0.0,1.2000710359420759,3.200071035942076,Neutral
00-0038606,Parker Washington,JAX,WR,WR,2025,2026,102,5,4.603118303323012,-0.3968816966769877,0.21805314902614495,21.110074877988076,0.07549868498639317,0.0,0.07549868498639317,1.593782893252394,1.1969011965754064,6.196901196575406,Neutral
00-0039875,Ray Davis,BUF,RB,RB,2025,2026,71,2,3.089190516588272,1.089190516588272,0.14010078602889503,22.049772910989542,0.004115019564327646,0.0,0.004115019564327646,0.09073524691770372,1.1799257635059757,3.1799257635059757,Neutral
00-0039032,Tyjae Spears,TEN,RB,RB,2025,2026,122,2,4.127132735760229,2.127132735760229,0.3883920099421992,10.626204015820079,0.0,0.08949977760792434,-0.08949977760792434,-0.9510428962323296,1.1760898395278996,3.1760898395279,Neutral
00-0039451,Isaiah Williams,NYJ,WR,WR,2025,2026,39,0,0.8410532562254639,0.8410532562254639,0.10829855623825929,7.766061574958835,0.06112251085884353,0.020574911030080002,0.04054759982876353,0.31489515698696785,1.1559484132124318,1.1559484132124318,Neutral
00-0029892,Kyle Juszczyk,SF,RB,RB,2025,2026,30,2,2.7515697744185137,0.7515697744185137,0.09440358342486872,29.146878482725775,0.011972722204134577,0.0,0.011972722204134577,0.34896747919134324,1.100537253609857,3.1005372536098568,Neutral
00-0039890,Adonai Mitchell,NYJ,WR,WR,2025,2026,75,2,2.2325287065521278,0.23252870655212776,0.2874724446881509,7.766061574958835,0.1622462776273131,0.05461494759030564,0.10763133003700748,0.8358715364621164,1.0684002430142443,3.0684002430142443,Neutral
00-0036550,Rashod Bateman,BAL,WR,WR,2025,2026,38,2,2.412862442033859,0.4128624420338589,0.2693534389290348,8.957978972266115,0.07091675394424768,0.0,0.07091675394424768,0.6352707906139408,1.0481332326477997,3.0481332326477997,Neutral
00-0040198,Ollie Gordon II,MIA,RB,RB,2025,2026,79,4,4.987510562304383,0.9875105623043829,0.3000338339713117,16.623160449235446,0.0031649268800141993,0.0,0.0031649268800141993,0.05261108733657417,1.040121649640957,5.040121649640957,Neutral
00-0033090,Hunter Henry,NE,TE,TE,2025,2026,87,7,7.258539372220361,0.25853937222036105,0.7843487966895897,9.254223889748591,0.2156512033104104,0.13401066006223777,0.08164054324817263,0.7555198656992922,1.0140592379196534,8.014059237919653,Neutral
00-0040122,Ashton Jeanty,LV,RB,RB,2025,2026,339,10,9.992966567465553,-0.007033432534447215,0.9082625387922975,11.002288590205476,0.08723816891878199,0.0,0.08723816891878199,0.959819510525533,0.9527860779910858,10.952786077991085,Neutral
